Year,Quarter,        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
,Q4,10439,6912.1,2493.4,915.8,1577.6,4418.7,2067.2,2012.9,1525.1,336.3,767,421.8,487.8,54.3,-401.5,1114.1,810.7,303.4,1515.6,1293,222.6,1861.2,638.4,396.6,241.7,1222.9
2001,Q1,10472.9,6986.9,2499.2,926.8,1572.4,4487.6,1971.3,2002,1505.2,331.8,751.7,421.8,496.7,-30.6,-390.8,1095.1,797.1,298,1485.8,1262.6,223.2,1905.4,653.1,404.5,248.6,1252.3
,Q2,10597.8,7036.3,2510.1,919.5,1590.6,4526.2,1973,1984.6,1473.6,338.9,716,418.7,511,-11.6,-358.5,1052.6,761.4,291.2,1411.1,1186.7,224.4,1947,666.1,410,256,1280.9
,Q3,10596.3,7064.7,2515.2,923.9,1591.4,4549.4,1944.9,1975,1452.6,347.1,692.4,413.1,522.4,-30.1,-366,996.4,715.2,281.2,1362.4,1142.9,219.4,1952.7,674.3,415.4,258.9,1278.4
,Q4,10660.3,7174.7,2577.8,995.9,1581.9,4596.9,1850.1,1930.9,1408.9,316.3,686,406.6,522.1,-80.8,-356.4,954.5,691.2,263.3,1310.9,1102.9,208.1,1992,686.8,422.8,264,1305.2
2002,Q1,10789,7209.9,2561.9,976.2,1585.6,4648.1,1912.7,1912.4,1374,302.7,667.3,404.1,538.3,0.3,-372.6,970.7,687.5,283.2,1343.3,1118.2,225.1,2038.9,713.9,440.9,273,1325
,Q2,10893.2,7302.1,2586.9,977.4,1609.5,4715.2,1933.3,1912.1,1357.3,289.3,661.9,406,554.8,21.2,-415.7,1003.9,714.3,289.6,1419.6,1193.7,225.9,2073.5,734.7,452.5,282.2,1338.8
,Q3,10992.1,7390.9,2618.4,1001.7,1616.7,4772.5,1933.2,1907.8,1348.9,278.2,661.3,409.3,558.9,25.4,-432.5,1017.2,725,292.1,1449.7,1221.6,228,2100.4,748.2,460.2,288.1,1352.2
,Q4,11071.5,7467.7,2628,986.1,1641.9,4839.8,1942.5,1909.5,1331.2,277.7,648,405.5,578.3,33,-480.8,1003.2,709.2,294,1484,1244,240,2142,775.1,482.2,292.9,1366.9
2003,Q1,11183.5,7555.8,2657.3,974.5,1682.8,4898.4,1960.2,1934.1,1332.7,279.2,644.3,409.2,601.4,26.1,-504.9,1008.2,719.2,289,1513,1274.8,238.2,2172.4,792.3,495,297.4,1380
,Q2,11312.9,7642.6,2677.9,1007.8,1670.1,4964.7,1972.4,1978.9,1366.8,286.9,665.2,414.7,612,-6.5,-501.5,1007.9,720,288,1509.5,1274.2,235.3,2199.4,825.5,521.9,303.5,1374
,Q3,11567.3,7802.6,2766.2,1041.8,1724.5,5036.3,2044.3,2043.9,1392.1,287.9,680.7,423.5,651.7,0.4,-500.8,1038.1,735,303.1,1538.9,1284.2,254.6,2221.2,832.7,524,308.7,1388.5
,Q4,11769.3,7891.5,2788.9,1047.1,1741.8,5102.6,2131.3,2095,1411.9,292.4,692.3,427.2,683.1,36.3,-505.4,1090.5,774.1,316.4,1595.8,1332.1,263.7,2251.8,854.6,544,310.6,1397.3
2004,Q1,11920.2,8027.7,2843.2,1064.2,1779,5184.5,2154.1,2108,1401.8,292.3,681.8,427.7,706.2,46,-549,1137.7,799.3,338.4,1686.7,1408.5,278.2,2287.3,871.3,556.1,315.2,1416
,Q2,12109,8133,2869,1066,1803,5264,2262.6,2188.6,1445.5,300.8,713.5,431.2,743.2,74,-608,1167.8,824.1,343.7,1775.8,1488.7,287.1,2321.4,884.2,562.8,321.3,1437.2
,Q3,12303.3,8264.3,2911.3,1085,1826.3,5353,2318.3,2254.1,1490.5,314,734.2,442.3,763.6,64.2,-636.4,1182.7,836.7,346,1819.1,1528,291.1,2357.2,902.2,580.7,321.5,1455
,Q4,12522.4,8425.6,2984.5,1107.1,1877.5,5441,2390.1,2318,1531.7,323.6,758.1,450.1,786.3,72.1,-682.9,1222.3,859.7,362.6,1905.2,1604.2,301,2389.7,909.3,579.8,329.5,1480.3
2005,Q1,12761.3,8523,3001.9,1110,1892,5521,2486.1,2383.6,1568.3,337.5,768.6,462.2,815.3,102.5,-674.6,1264.8,886,378.8,1939.4,1636.1,303.2,2426.9,931.5,598.4,333.1,1495.4
,Q2,12910,8671.4,3057.4,1137.9,1919.5,5614,2476.5,2447.6,1603.8,345,786.9,472,843.8,28.8,-690.8,1296,919.9,376.2,1986.8,1679.6,307.3,2452.9,939,606,333,1513.9
,Q3,13142.9,8849.2,3137.8,1151.8,1986,5711.4,2531.1,2518.7,1643.1,355.8,808.3,479.1,875.6,12.4,-732.5,1307.1,924.2,382.9,2039.6,1726.2,313.4,2495.1,956.1,616.4,339.7,1539
,Q4,13332.3,8944.9,3134.5,1114.7,2019.7,5810.4,2645.3,2558.9,1668.7,373.6,815.8,479.3,890.2,86.4,-786.9,1353,957.6,395.4,2139.9,1819.9,319.9,2529.1,963.3,617,346.3,1565.8
2006,Q1,13603.9,9090.7,3196.8,1154.1,2042.7,5893.8,2709.7,2631.5,1735.3,397.6,850.2,487.6,896.2,78.2,-777.2,1413,1004.9,408.1,2190.2,1851.5,338.7,2580.7,996.6,635.7,360.9,1584.1
,Q2,13749.8,9210.2,3226.1,1149.2,2076.8,5984.2,2709.3,2633.7,1774.4,420.1,857.6,496.7,859.3,75.5,-780.6,1460,1036.3,423.7,2240.6,1895.6,345,2610.9,996.6,640,356.7,1614.3
,Q3,13867.5,9333,3273.4,1160.5,2112.9,6059.6,2709.4,2630.7,1815.9,435.8,867.4,512.7,814.7,78.8,-805.6,1477.8,1053.8,424.1,2283.5,1939.1,344.4,2630.7,994.9,632.4,362.6,1635.7
,Q4,14037.2,9407.5,3262.2,1169.4,2092.8,6145.2,2675.4,2631.9,1849.5,447.2,873.9,528.4,782.4,43.5,-720.3,1539.6,1084.7,454.9,2259.9,1896.7,363.2,2674.7,1014.6,655.2,359.4,1660.1
2007,Q1,14208.6,9549.4,3308.1,1179,2129.1,6241.3,2664.3,2642.9,1892,469.6,886.3,536.2,750.9,21.4,-724.3,1577.1,1106.9,470.2,2301.4,1934.7,366.7,2719.2,1017.2,654.6,362.5,1702
,Q2,14382.4,9644.7,3351.8,1185.7,2166.1,6292.9,2699.2,2657,1937.7,498.1,897.8,541.8,719.3,42.2,-731.9,1622.1,1138,484.2,2354,1977.7,376.4,2770.3,1042,674.1,367.9,1728.3
,Q3,14535,9753.8,3380,1191.9,2188.2,6373.8,2686,2641,1967.4,526.7,896,544.7,673.7,44.9,-713.8,1683.7,1177.6,506.2,2397.5,2012.7,384.8,2809,1058.3,684.4,373.9,1750.7
,Q4,14681.5,9877.8,3428.2,1195.6,2232.6,6449.6,2642.6,2615.3,1997.1,546.8,893.6,556.7,618.2,27.3,-703.7,1760.5,1222.7,537.8,2464.2,2073.6,390.6,2864.9,1084.6,703.9,380.6,1780.3
2008,Q1,14651,9934.3,3406.4,1153.5,2252.9,6527.9,2563.7,2580.4,2013.7,556.9,885.4,571.4,566.7,-16.7,-756.2,1811,1275.4,535.6,2567.2,2160.8,406.4,2909.3,1110.3,721.2,389.1,1799
,Q2,14805.6,10052.8,3443.5,1137.7,2305.8,6609.3,2540.6,2562.8,2024,571.9,871.8,580.3,538.8,-22.3,-758.9,1909.7,1353,556.7,2668.7,2253.4,415.2,2971.1,1145.5,742.2,403.3,1825.6
,Q3,14835.2,10081,3427.9,1095.8,2332.1,6653.1,2498.2,2514.1,2007,578.8,852.1,576.1,507.1,-15.8,-771.6,1921.8,1372.7,549.1,2693.3,2269.6,423.7,3027.5,1168.7,766.3,402.4,1858.9
,Q4,14559.5,9837.3,3175.1,1008,2167.1,6662.2,2307.9,2370.1,1918.7,576.8,772.2,569.8,451.4,-62.2,-605.7,1705.7,1169.1,536.6,2311.4,1893.2,418.2,3020,1177.9,771.6,406.2,1842.2
2009,Q1,14394.5,9756.1,3120,1004.5,2115.5,6636.1,2014.9,2165.9,1761.4,527.7,683.5,550.1,404.5,-151,-396.1,1514.3,1005.9,508.5,1910.4,1521.2,389.2,3019.7,1183,765.4,417.5,1836.7
,Q2,14352.9,9760.2,3134.5,994.7,2139.8,6625.7,1863.7,2059.7,1685,473.1,652.2,559.7,374.7,-196,-338.6,1518.3,1005.5,512.8,1856.9,1471,385.9,3067.6,1210.8,782.9,427.9,1856.7
,Q3,14420.3,9895.4,3228.5,1035.1,2193.4,6666.9,1841.4,2045.4,1656,429.5,662,564.5,389.4,-204,-405.5,1591.1,1068,523.1,1996.6,1603.4,393.2,3089,1225.5,792.8,432.7,1863.5
,Q4,14628,9957.1,3237.1,1014.2,2222.9,6720,1998.7,2050.8,1659.3,392.9,683.3,583.1,391.5,-52.1,-445.6,1704.3,1154.4,549.9,2149.8,1745.9,404,3117.8,1253.4,809.1,444.3,1864.4
2010,Q1,14721.4,10040.5,3266.2,1021.1,2245.1,6774.3,2038.2,2039.4,1660,368.8,719.8,571.4,379.4,-1.2,-489.2,1746.9,1201.1,545.7,2236.1,1832.5,403.5,3131.9,1275.7,817.5,458.2,1856.2
,Q2,14926.1,10131.8,3291.2,1043.9,2247.3,6840.5,2148.8,2112.1,1715.7,382.1,763.7,570,396.3,36.7,-519.1,1810,1251.4,558.6,2329.1,1920.4,408.8,3164.7,1302.6,828,474.5,1862.1
2010,Q3,15079.9,10220.6,3315.1,1052.4,2262.7,6905.5,2236.5,2123.6,1762.4,379.1,804.5,578.8,361.2,112.9,-535.1,1865.6,1282.7,582.9,2400.7,1979.8,420.9,3157.9,1302.3,828.9,473.4,1855.6
,Q4,15240.8,10350.5,3398.8,1078.4,2320.4,6951.7,2238.4,2171.1,1801.9,389.2,820.1,592.5,369.3,67.3,-512.2,1962.6,1354.5,608.1,2474.8,2046.6,428.3,3164.1,1311.1,837.4,473.7,1853
2011,Q1,15285.8,10485.4,3469,1087.9,2381.1,7016.3,2206,2173.9,1805.1,362.2,839.8,603.1,368.8,32.1,-561.5,2030.3,1411.7,618.5,2591.7,2168.2,423.6,3156,1304.7,831.6,473.2,1851.2
,Q2,15496.2,10612.1,3514.5,1082.9,2431.6,7097.7,2297.4,2236.3,1862,392.7,854.3,615.1,374.3,61,-581.9,2105.1,1463.2,641.8,2686.9,2243.1,443.8,3168.6,1311.8,843,468.8,1856.7
,Q3,15591.9,10705.4,3527.8,1090.8,2437,7177.6,2322.8,2334.9,1953.8,421.2,904.5,628.1,381.1,-12,-573.9,2138.8,1482.4,656.3,2712.6,2260.7,452,3137.5,1288,835,453,1849.5
,Q4,15796.5,10761.6,3561.2,1112.4,2448.8,7200.4,2504.1,2400.1,2009,441.8,926.5,640.7,391.2,104,-600.7,2137.8,1491.6,646.2,2738.5,2290.2,448.3,3131.4,1291.2,826.3,464.8,1840.3
2012,Q1,16019.8,10922.4,3628.7,1138.1,2490.6,7293.7,2567.8,2487.5,2073.4,470.1,957.8,645.4,414.1,80.3,-615.1,2164.6,1507.4,657.2,2779.7,2326.4,453.3,3144.7,1295.6,824.1,471.5,1849
,Q2,16152.3,10964.9,3616.4,1133.6,2482.8,7348.5,2636.9,2545.5,2126.2,488.1,984.4,653.7,419.3,91.4,-580.5,2192.1,1524.9,667.2,2772.6,2314.2,458.4,3131,1288.2,816,472.1,1842.9
,Q3,16257.2,11014.2,3631.8,1141.7,2490.1,7382.4,2644.1,2559.7,2126,484.7,984.3,657,433.7,84.4,-540.8,2201.8,1533.3,668.5,2742.6,2282.3,460.3,3139.6,1293.3,820.2,473.1,1846.3
,Q4,16358.9,11125.7,3674.1,1163.6,2510.5,7451.7,2638.3,2609.5,2148.6,474.9,1007.1,666.6,460.9,28.7,-537.8,2206.6,1520.8,685.9,2744.5,2282.7,461.8,3132.7,1269.1,796.4,472.7,1863.7
2013,Q1,16569.6,11223.2,3731.6,1188.8,2542.8,7491.6,2738.2,2656,2170.9,463,1022.8,685.1,485.1,82.3,-516.9,2239.2,1534.9,704.3,2756,2294.5,461.5,3125,1240,775.3,464.7,1885
,Q2,16637.9,11239.6,3699.3,1185.5,2513.9,7540.3,2775.3,2687.5,2180.3,480,1018,682.3,507.2,87.8,-508.9,2250.7,1542.2,708.5,2759.6,2293.8,465.8,3132,1232.3,770.9,461.4,1899.6
,Q3,16848.7,11330.9,3730.4,1188.9,2541.4,7600.6,2880,2743.8,2220.7,507.5,1016.5,696.7,523.1,136.2,-496.3,2269.4,1552.6,716.8,2765.7,2296.8,468.9,3134.1,1218.4,757,461.4,1915.7
,Q4,17083.1,11475.1,3758.6,1194.5,2564.1,7716.5,2910.5,2798.7,2274,519.5,1050.9,703.6,524.6,111.9,-441.1,2334.4,1607.1,727.3,2775.5,2300.4,475.1,3138.5,1215.6,753.6,461.9,1923
2014,Q1,17102.9,11573.9,3788.1,1202.6,2585.5,7785.8,2901.6,2845.5,2314.5,546.7,1057.5,710.3,531,56.1,-511.7,2338.3,1593.8,744.4,2850,2372,478,3139.1,1213.2,746.7,466.5,1925.9
,Q2,17425.8,11756,3860.9,1239.6,2621.2,7895.2,3028.8,2926.7,2376.2,574.1,1082.7,719.3,550.5,102.1,-510,2386.1,1627.8,758.3,2896,2408.5,487.5,3150.9,1207.2,740,467.2,1943.8
,Q3,17719.8,11920.7,3896.3,1256.4,2639.9,8024.5,3099,3002.9,2434,585.2,1119.4,729.4,568.9,96.1,-489.8,2388.4,1630.7,757.6,2878.2,2388.8,489.4,3189.9,1226.8,752.5,474.2,1963.2
,Q4,17838.5,12045.5,3900.8,1270.8,2630,8144.7,3126.3,3042.7,2452.6,602.3,1103.6,746.7,590.1,83.7,-521.5,2371.4,1607.2,764.2,2892.9,2396.5,496.4,3188.2,1209.5,730.9,478.7,1978.6
2015,Q1,17970.4,12095.6,3859.1,1281.4,2577.7,8236.4,3216.8,3052.1,2447.5,589,1114.9,743.6,604.6,164.7,-530.4,2286.6,1515.3,771.3,2817,2324.3,492.7,3188.5,1214.5,729.5,485,1974
,Q2,18221.3,12256.7,3922.7,1308.3,2614.4,8334,3225.9,3081.7,2458,589.9,1114.6,753.4,623.7,144.3,-499,2303.2,1531.6,771.6,2802.2,2306.6,495.6,3237.6,1221,732.7,488.3,2016.6
,Q3,18331.1,12380.7,3956.8,1317.2,2639.5,8424,3229.6,3109.3,2463,570.9,1130.2,762,646.3,120.3,-536.2,2259.2,1489.7,769.5,2795.4,2292.1,503.3,3257,1221.4,726.5,495,2035.5
,Q4,18354.4,12445.1,3940.1,1319.3,2620.8,8505,3175.5,3089.9,2430.3,539,1113.7,777.6,659.6,85.6,-520.1,2211.2,1440.9,770.3,2731.3,2226.4,505,3253.8,1226.6,729.6,497,2027.2
2016,Q1,18409.1,12526.5,3932.2,1323.7,2608.5,8594.3,3142.1,3094.1,2409.8,531.2,1092.8,785.8,684.2,48,-522.2,2165.6,1402.3,763.3,2687.8,2177.7,510.2,3262.7,1223.5,724.8,498.7,2039.2
,Q2,18640.7,12706.5,3990.3,1336.3,2654,8716.2,3152.2,3127.1,2435.6,539.7,1091.4,804.5,691.5,25.1,-496.2,2206.6,1434.1,772.5,2702.7,2191.7,511,3278.2,1225.4,722.4,502.9,2052.9
,Q3,18799.6,12845.2,4013.9,1357.7,2656.3,8831.2,3157.7,3157.2,2458.4,555.1,1090.2,813.2,698.8,0.5,-503.7,2252.5,1469.4,783.2,2756.3,2236.1,520.2,3300.5,1235.9,730.6,505.3,2064.7
,Q4,18979.2,12989.4,4048.8,1368.7,2680.1,8940.6,3227.6,3185.4,2464.7,556.7,1089.3,818.7,720.8,42.1,-560.2,2245.6,1464.9,780.7,2805.8,2278.4,527.3,3322.4,1244.1,731.5,512.7,2078.3
2017,Q1,19162.6,13114.1,4090.4,1375.6,2714.8,9023.7,3278.6,3270.6,2525.2,577.5,1112.3,835.4,745.5,8,-576.6,2294.1,1497.3,796.9,2870.7,2336.1,534.6,3346.4,1252.4,734.9,517.5,2093.9
,Q2,19359.1,13233.2,4117.1,1393.4,2723.7,9116.1,3337.9,3320.8,2576.7,588.3,1137.4,850.9,744.1,17.1,-571.9,2316.3,1510.8,805.4,2888.2,2344.6,543.6,3360,1264,746.7,517.3,2096
,Q3,19588.1,13359.1,4166,1411.2,2754.8,9193.1,3413.9,3358.5,2607,585.3,1162.8,858.9,751.5,55.4,-557.3,2358.3,1536.7,821.6,2915.5,2358.9,556.7,3372.3,1263.8,743.1,520.7,2108.5
,Q4,19831.8,13579.2,4250.9,1445.7,2805.2,9328.3,3441.4,3420,2642.6,590.6,1189.1,862.9,777.4,21.5,-607.9,2432,1598.8,833.2,3039.9,2474.6,565.3,3419.1,1280.6,750.7,529.8,2138.5
2018,Q1,20041,13679.6,4267.7,1434.5,2833.2,9411.9,3543.8,3507.4,2720.3,614.9,1212.6,892.7,787.2,36.3,-639.2,2477.4,1628.1,849.3,3116.6,2537.1,579.4,3456.8,1294.8,759,535.8,2162
,Q2,20411.9,13875.6,4329.5,1458.7,2870.8,9546.1,3579.5,3589.9,2791.4,644.1,1228.8,918.6,798.5,-10.4,-549.8,2568.7,1706.4,862.4,3118.5,2536.5,582,3506.6,1313,772.6,540.4,2193.5
